"","…œ –π´Àæ","…ÍÕÚ“ªº∂––“µ","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"906","002443.SZ","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.88218329,0,0,0,19.37035882,-0.667310737,-8.456780689,-19.11816369,-27.82162967,-36.74521677,-33.78002186,-12.77713334,-16.05299482,27.20689773,64.61061803,49.3184618,61.03358757,49.40618189,29.27247916,24.65597101,9.647769971,-63.5311696,-43.21172195,-45.92673267,-35.25896707,21.78695767,43.62532876,51.49879895,26.86127718,-13.39387692,-6.077444755,-49.91146447,-31.57316911,-33.18932035,-19.87635556,185.9083336,168.1568767
"941","002478.SZ","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.2447036,0,0,0,-24.9165492,0,0,-10.13008898,-4.914839603,30.38288477,12.56455213,18.65203872,25.08484006,2.360702467,-11.87725657,-15.12285889,-21.25322396,1.079997119,5.348967535,17.47461026,12.51408653,17.85346383,16.35224789,5.647508648,9.087188873,-16.28208635,-19.69545853,-17.89373885,-20.14416423,-36.53169214,-34.31375694,-42.80437437,-42.61983269,-18.92087875,5.30955812,5.638958794,23.81412741
"1213","002756.SZ","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.6920275,0,0,0,82.65882256,0,0,0,-25.08039019,0,0,0,18.1887617,0,0,0,-2.654804741,0,0,0,-2.419910454,0,0,0,2.507703968,0,0,0,13.98327398,-6.280397269,-20.42359074,-13.90079489,-16.10546158,4.125315735,8.358461628,8.752731153,14.44514465,21.24582068,25.8359528,26.62445267,38.56957834
"2120","600010.SH","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.790820154,0,0,0,4.175787276,0,0,0,14.77085592,0,18.73724565,-5.91457572,-11.15739236,0,-21.94513806,-11.72433613,19.00362779,54.5900804,50.69855294,53.11426215,85.16413597,35.66118913,53.64118059,49.26594875,15.26490247,48.19927116,109.2616333,51.38628988,14.61416008,-65.74755554,-57.20069785,-50.90116194,-33.70306285,120.6175463,46.22811815,110.221605,161.7485045,159.8885166,143.5768493,20.56712197,-47.3021184,-122.0343566,-167.6373353,-126.2276506,-277.0876881,145.0724829,150.3054403,253.886817,112.0742258,97.15349273,-2.243644813,26.22689127,64.82197884,-89.35119073,-83.57846817,-87.40082187,-48.00052285,-53.15806241,-62.44877648,-47.4056744,-37.16601477,-116.9877725,-76.04958207,-74.00811806,-19.046911,136.8755274,-1882.753806,-270.217894,-383.3047302,-442.2988166,106.75194,115.892698,102.5779866,135.1228809,5116.394937,558.3082689,2309.034938
"2127","600019.SH","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45.01806982,0,0,0,83.78298527,0,0,0,31.52531129,0,12.15024937,0,-14.40097664,0,-15.68856187,0,66.79341223,211.8302552,182.5288734,101.6750217,63.27070745,49.90578792,26.73133155,34.74657243,35.33960984,20.76151831,51.70944459,45.60107285,32.7820228,-52.93264683,-35.53657433,-7.468432954,8.508321605,168.80158,83.97097467,15.285937,-1.308962417,13.54066893,16.5744865,16.35547332,-50.82116363,-97.38536084,-92.06055746,-68.21078774,-7.663751937,3740.631073,978.0124237,174.0353457,119.2033705,-21.02351535,-35.98068405,-39.04726748,-42.01332923,-60.61762188,81.88426162,62.33296967,34.86588903,32.49504148,-60.62282998,-55.27311644,-39.32538941,-5.404228965,-12.79930118,9.177841538,0.833688824,3.184501978,-0.958174468,-56.14745451,-88.27604236,-6.011728086,9.947038628,151.02965,1325.843741,165.2926413,73.03378975,102.0096245,118.4714089
"2130","600022.SH","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.82023342,0,0,0,63.91600386,0,55.25932184,37.91161543,37.88098602,114.028207,74.66860142,35.13817063,-1.196769123,-80.71860804,-49.78523085,-18.64531768,4.247713471,321.1410334,83.55880092,47.50582253,59.91289523,32.56940583,57.74524831,46.03027964,-59.99031338,-257.6340423,-167.5793369,-134.2929955,-91.13359532,110.6184,123.3105928,102.7136653,23.54230777,-71.37460009,-90.21661276,299.8310943,-32.52100222,-392.4382918,-334.8922533,-422.169463,-750.8714664,100.779977,81.01061686,93.61804349,104.2719376,-12069.15888,-319.9773524,-691.0581242,-950.5797613,48.93202399,101.2067754,21.79419029,106.3660297,-70.53595049,412.8649329,107.5753058,-630.9778784,244.3244757,1019.368799,1523.267366,464.431367
"2209","600117.SH","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,-37.96232821,0,0,0,25.53751496,0,0,0,5.16041425,0,0,0,1.197558551,0,50.51331972,0,7.88305954,0,-8.283159394,0,-23.67641373,0,-32.27361846,0,11.42651259,0,35.54875689,0,27.26710156,39.27441368,17.89995934,12.01624918,-20.30525854,54.11370145,2.709864761,0.903905571,24.06989683,8.135932557,27.11143089,29.04857045,29.59309698,18.31597359,44.95113946,63.66718385,80.92183367,117.0616407,115.9509758,90.49151052,79.76009663,224.3403227,146.3218069,94.33453702,-24.89085948,-99.54757319,-99.14601398,-95.28086866,-81.12223028,6669.432125,2797.800038,583.9058691,418.2130713,177.2437147,184.7173285,142.9299852,48.68946718,-93.59489391,-68.72054516,-86.41007882,-81.11661785,416.554785,-18.74306245,-23.7322676,-141.1435738,-259.3644393,-233.3204226,-334.6544973,-41.72328679,6.92601134,-106.8974905,-396.4263528,-2421.418997,-255.4440443,-66.24044332,23.7267735,102.5254288,103.0630272,101.7372671,59.4779575,77.88023437
"2217","600126.SH","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,-64.65121894,0,0,0,4.326076652,0,0,0,35.29819746,0,0,0,37.43691177,0,16.78217512,0,44.66946092,0,83.9118904,0,69.07736675,0,6.393211366,0,-9.134098551,0,-29.94810391,0,-18.0665212,121.1293493,74.37029793,73.6104086,89.5111834,70.50329111,39.1872819,20.66827688,27.39523993,-43.5086856,-47.18444842,-47.19444483,-65.51625277,-81.5967646,-35.835872,-26.17292907,-1.975198641,234.9668984,68.37672709,67.16515047,61.75767272,73.06975575,62.8561564,34.46069964,-84.73598927,-86.36154829,-90.68604547,-70.36643747,198.0672971,525.5833874,484.9513094,71.36446946,113.2740578,19.93533995,28.26280401,51.32556831,-10.53954635,-87.35494964,-143.9077876,-195.5073221,-211.3478198,94.31603194,35.72052786,94.13823724,111.4056849,-137.1419305,124.6369207,188.472164,-41.60537571,-379.7205294,-1966.406072,-2617.651226,-4584.408422,390.1067397,247.2288452,205.8768196,141.3299735,83.78575783,5.582634807,123.9318083,145.8893839
"2308","600231.SH","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.092512031,0,0,0,41.74385131,0,4.658687786,0,28.75107058,0,-27.30521333,-15.39789569,16.93987736,0,30.15393484,50.77140648,24.47989604,631.7636926,214.9883592,135.3699269,116.1047925,35.28598591,-10.43336143,2.975928018,3.963857905,15.96808911,71.93805704,9.33462115,-29.03352708,-86.86670194,-45.75357855,-22.02901703,13.64045044,331.5447765,27.99008831,1.724612215,13.53191357,8.88518764,38.46556933,9.750888667,-37.28973994,-128.5482741,-105.2556563,-65.54497226,-11.76478006,182.8663049,1171.675447,116.542333,99.91047052,35.44015412,-4.217160585,-11.10502685,-73.84646675,-363.1218177,-188.4196252,-69.93189025,-72.05146475,81.17446773,115.917695,-58.5624177,75.30453819,-449.2887543,-830.5087994,-612.258681,-1032.642328,21.31719087,47.34519383,32.50601778,106.6830571,13.59861038,43.86685753,107.9038122,181.251024,227.3351261,608.0763362,7120.688538,801.0108065
"2352","600282.SH","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.108796803,0,0,0,7.786564739,0,0,0,41.49339667,0,76.93179125,0,2.333100246,0,-5.896140565,4.805098085,17.92999521,215.5768639,63.0441771,74.61308569,101.3276092,132.9495894,50.1297838,19.74545763,6.878334936,-30.87796695,0.373622464,-8.805019041,-21.59276829,-79.11091996,-60.22957677,-32.89271266,-4.792854873,613.9968553,283.4685386,188.6588937,163.9336915,-13.07864452,10.28302368,-12.55888649,-88.04839354,-93.953393,-89.48155183,-83.13935321,13.75610137,286.7062826,79.85114104,4.628039571,57.79820666,9.386572367,14.91063931,18.16154215,-64.5250768,-70.13295744,-87.20184099,-169.0665269,-270.0917314,-83.14764155,-186.089423,94.29504258,-8.397026785,-22.25212187,281.3159176,2409.788673,147.2496932,349.7977454,-70.09070186,-333.794606,-932.2658344,-85.55207703,315.5455564,147.9424537,114.5891404,4997.931435,747.2651601,823.5457432,858.2507507
